image_path,label
paper\paper_97.jpg,paper
rock\rock_48.jpg,rock
scissors\scissors_42.jpg,scissors
rock\rock_72.jpg,rock
paper\paper_61.jpg,paper
scissors\scissors_29.jpg,scissors
paper\paper_70.jpg,paper
paper\paper_24.jpg,paper
paper\paper_80.jpg,paper
scissors\scissors_43.jpg,scissors
rock\rock_14.jpg,rock
paper\paper_16.jpg,paper
scissors\scissors_48.jpg,scissors
scissors\scissors_7.jpg,scissors
scissors\scissors_22.jpg,scissors
paper\paper_42.jpg,paper
rock\rock_51.jpg,rock
paper\paper_3.jpg,paper
rock\rock_0.jpg,rock
paper\paper_46.jpg,paper
paper\paper_98.jpg,paper
scissors\scissors_53.jpg,scissors
scissors\scissors_30.jpg,scissors
paper\paper_52.jpg,paper
paper\paper_14.jpg,paper
paper\paper_8.jpg,paper
rock\rock_47.jpg,rock
rock\rock_2.jpg,rock
scissors\scissors_35.jpg,scissors
paper\paper_43.jpg,paper
scissors\scissors_58.jpg,scissors
rock\rock_50.jpg,rock
scissors\scissors_33.jpg,scissors
rock\rock_40.jpg,rock
scissors\scissors_37.jpg,scissors
scissors\scissors_3.jpg,scissors
paper\paper_1.jpg,paper
rock\rock_28.jpg,rock
rock\rock_65.jpg,rock
paper\paper_88.jpg,paper
rock\rock_32.jpg,rock
paper\paper_56.jpg,paper
scissors\scissors_10.jpg,scissors
scissors\scissors_90.jpg,scissors
paper\paper_58.jpg,paper
rock\rock_19.jpg,rock
scissors\scissors_98.jpg,scissors
rock\rock_71.jpg,rock
paper\paper_41.jpg,paper
rock\rock_38.jpg,rock
rock\rock_95.jpg,rock
paper\paper_83.jpg,paper
scissors\scissors_59.jpg,scissors
paper\paper_38.jpg,paper
rock\rock_81.jpg,rock
paper\paper_64.jpg,paper
scissors\scissors_6.jpg,scissors
rock\rock_1.jpg,rock
scissors\scissors_25.jpg,scissors
scissors\scissors_96.jpg,scissors
paper\paper_73.jpg,paper
scissors\scissors_40.jpg,scissors
scissors\scissors_80.jpg,scissors
scissors\scissors_75.jpg,scissors
rock\rock_73.jpg,rock
rock\rock_79.jpg,rock
scissors\scissors_91.jpg,scissors
rock\rock_97.jpg,rock
scissors\scissors_70.jpg,scissors
rock\rock_70.jpg,rock
paper\paper_85.jpg,paper
rock\rock_15.jpg,rock
rock\rock_29.jpg,rock
rock\rock_96.jpg,rock
paper\paper_76.jpg,paper
