file,label
rock\rock_73f6b5bf-7b21-4e93-914e-ac04da3fab0b.jpg,rock
rock\rock_005a9f83-0899-4d21-9e1c-783e983ae632.jpg,rock
rock\rock_edc54301-a59a-43aa-8f5b-d35407be2b1a.jpg,rock
rock\rock_ffd95c59-ecc1-4268-8fac-5ef02d8f0c45.jpg,rock
rock\rock_00c8f93a-7be4-40e4-924a-89a51ff072b9.jpg,rock
rock\rock_c3a9e7c1-45bb-47e5-b5a9-99da6223f89b.jpg,rock
rock\rock_2e9b9287-3853-4923-8a06-7dc6a1e6e2c1.jpg,rock
rock\rock_b0a061fc-2770-46ed-952e-2620b5811233.jpg,rock
rock\rock_49e30677-4ffa-4755-bb3f-c38bf2252a88.jpg,rock
rock\rock_76e2c5f9-1ed3-418a-84fd-c48de44ff7b7.jpg,rock
rock\rock_ca76d747-02a7-4b1c-a862-21973ba1f703.jpg,rock
rock\rock_a04d3412-0dc5-4230-ad80-fccee76dd242.jpg,rock
rock\rock_f330444c-a231-450b-b8c4-d93a78613558.jpg,rock
rock\rock_d1b3319c-b04b-43e1-a9e4-e6f7f53fca22.jpg,rock
rock\rock_3f50e64e-fb74-4cb3-9078-5dbaff6d3408.jpg,rock
rock\rock_35208e3e-4225-4876-83d3-f1c228464522.jpg,rock
rock\rock_641c946e-23e1-4063-9897-3381710a78b3.jpg,rock
rock\rock_6cbacdcf-f18b-4bad-86e8-6db1369069f4.jpg,rock
rock\rock_d6dfef25-2da2-4403-b4fd-c22206a141e8.jpg,rock
rock\rock_2fc5a217-1760-4fe3-b60a-cddd1aa5ec8e.jpg,rock
rock\rock_50646bb3-d95f-4360-8866-e06ea4e50ef7.jpg,rock
rock\rock_b040bc11-fc5d-433b-94f0-497f40c27b20.jpg,rock
rock\rock_ecebea8c-da1e-495c-910e-34a2c9786df3.jpg,rock
rock\rock_cec748bf-c78d-454c-ad8e-651c029ea852.jpg,rock
rock\rock_0029ba46-3a49-4b37-be2a-99bcc92f4d8d.jpg,rock
rock\rock_92a0bf80-fa5c-4ce7-951e-698c5965140d.jpg,rock
rock\rock_b1db1edf-3dd7-4c4b-8d82-0ec2a87ebc61.jpg,rock
rock\rock_ba0bfc09-6a73-4f8d-afa0-19495343ab61.jpg,rock
rock\rock_4da6c1e6-b108-49f8-bee2-6b660a17b5a1.jpg,rock
rock\rock_fc198fbc-1c69-44f4-951b-1c8f3ab4cecc.jpg,rock
rock\rock_b220d42d-2af1-4369-af92-8355059211a9.jpg,rock
rock\rock_a6905ffb-9f7d-4656-8751-00c6140edf6d.jpg,rock
rock\rock_dfcfbff7-7c13-493f-a820-6e42c606af91.jpg,rock
rock\rock_37ee996a-8b3a-4d6d-aa9c-ebcdef9ff2df.jpg,rock
